Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,2870.0,2887.4,2842.7,2863.2,8927861,25537885916.05,2860.47,361277
07-Jun-2024,2857.0,2944.0,2853.0,2939.9,9279348,27071000141.85,2917.34,344744
10-Jun-2024,2939.9,2986.7,2936.15,2942.8,4625880,13700144470.7,2961.63,213285
11-Jun-2024,2938.0,2947.35,2909.35,2913.35,5887451,17235309310.25,2927.47,210257
12-Jun-2024,2915.0,2952.0,2910.35,2926.65,5040871,14789562953.35,2933.93,194907
13-Jun-2024,2944.0,2944.5,2920.2,2930.5,4590580,13461977299.9,2932.52,150823
14-Jun-2024,2940.0,2959.35,2914.45,2955.1,4078999,12009735003.5,2944.28,150934
18-Jun-2024,2974.7,2974.8,2942.7,2962.05,3598383,10640238520.1,2956.95,228749
19-Jun-2024,2975.0,2975.0,2912.0,2917.3,4362937,12806397074.45,2935.27,181800
20-Jun-2024,2918.0,2965.7,2900.2,2947.4,8056888,23732484114.9,2945.61,219372
21-Jun-2024,2947.25,2949.4,2881.15,2908.4,15585180,45339357875.0,2909.13,338377
24-Jun-2024,2891.05,2899.0,2875.0,2882.95,4439193,12809105423.85,2885.46,204050
25-Jun-2024,2886.0,2911.85,2882.0,2908.3,3522693,10205907632.15,2897.19,143772
26-Jun-2024,2892.1,3037.95,2890.25,3028.05,11007441,32850999298.6,2984.44,355204
27-Jun-2024,3027.5,3075.0,3012.0,3061.1,14191515,43383260604.4,3056.99,437882
28-Jun-2024,3062.05,3162.0,3062.05,3130.8,14478668,45180850345.25,3120.51,484009
01-Jul-2024,3125.05,3158.8,3111.35,3120.3,3862153,12075137299.45,3126.53,186641
02-Jul-2024,3139.0,3147.0,3114.0,3130.35,3874623,12126429929.15,3129.71,179115
03-Jul-2024,3132.65,3150.0,3085.55,3104.85,4524810,14049406822.65,3104.97,185754
04-Jul-2024,3114.0,3135.0,3101.6,3108.05,3418588,10655715706.45,3116.99,173336
05-Jul-2024,3107.65,3197.0,3096.0,3177.25,6134855,19323716027.9,3149.82,261494
08-Jul-2024,3178.0,3217.6,3165.05,3201.8,4750403,15181479272.55,3195.83,240527
09-Jul-2024,3195.2,3201.0,3161.0,3180.55,3480001,11061403124.6,3178.56,159638
10-Jul-2024,3190.0,3195.0,3126.3,3168.45,3567289,11253968347.05,3154.77,182113
11-Jul-2024,3175.0,3208.5,3141.0,3161.3,5970473,18924071474.55,3169.61,246252
12-Jul-2024,3169.0,3210.3,3149.0,3193.45,6462392,20589634191.2,3186.07,246838
15-Jul-2024,3208.9,3211.7,3171.0,3194.45,2664844,8504591755.0,3191.4,187867
16-Jul-2024,3187.0,3200.0,3138.25,3152.5,4693419,14859548266.1,3166.04,230262
16-Jul-2024,3187.0,3200.0,3138.25,3152.5,4693419,14859548266.1,3166.04,230262
18-Jul-2024,3152.0,3187.8,3115.65,3173.35,6149187,19403909511.4,3155.52,212178
19-Jul-2024,3172.0,3179.95,3105.6,3110.3,6570195,20554178349.45,3128.4,213186
22-Jul-2024,3074.5,3075.0,2998.55,3001.35,9837188,29671339998.45,3016.24,465224
23-Jul-2024,3002.0,3011.5,2926.0,2975.8,9026022,26803649945.6,2969.6,384359
24-Jul-2024,2970.0,3019.0,2952.8,2991.4,5956681,17796651407.6,2987.68,232120
