Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,1494.0,1494.0,1455.05,1472.7,3004955,4408890433.5,1467.21,188791
07-Jun-2024,1479.9,1510.1,1472.15,1506.85,3404664,5100495605.75,1498.09,119589
10-Jun-2024,1519.0,1521.7,1505.1,1513.1,1433942,2170578866.8,1513.71,61394
11-Jun-2024,1524.0,1525.0,1497.35,1499.75,1441589,2172604680.1,1507.09,65017
12-Jun-2024,1500.0,1514.55,1495.85,1506.85,994784,1499741290.5,1507.6,100301
13-Jun-2024,1514.6,1514.6,1498.0,1510.8,1412477,2129133008.7,1507.38,75717
14-Jun-2024,1513.85,1518.0,1505.55,1516.0,937490,1419681026.15,1514.34,71782
18-Jun-2024,1522.6,1522.85,1510.2,1520.95,1478241,2243541300.6,1517.71,55280
19-Jun-2024,1524.95,1529.85,1500.0,1504.0,1537367,2327016599.2,1513.64,87658
20-Jun-2024,1487.95,1487.95,1467.0,1471.0,4168375,6150820394.75,1475.59,226904
21-Jun-2024,1480.1,1488.0,1460.9,1467.25,4426556,6516752630.25,1472.19,217835
24-Jun-2024,1475.05,1502.9,1475.05,1494.5,3726155,5564284348.55,1493.3,128529
25-Jun-2024,1498.05,1508.0,1492.3,1505.2,1833311,2751410848.15,1500.79,116521
26-Jun-2024,1502.0,1528.9,1495.25,1521.15,2563493,3872877737.8,1510.78,108566
27-Jun-2024,1525.0,1528.05,1505.0,1516.25,3881458,5876530452.2,1514.0,215039
28-Jun-2024,1520.0,1538.95,1515.6,1520.85,2634599,4018388688.8,1525.24,201990
01-Jul-2024,1520.85,1530.0,1503.85,1520.1,1451094,2194530179.05,1512.33,146774
02-Jul-2024,1514.0,1534.9,1508.25,1524.05,1336816,2036360750.75,1523.29,91530
03-Jul-2024,1519.35,1536.25,1498.3,1533.95,1061099,1617850209.5,1524.69,43868
04-Jul-2024,1535.0,1571.0,1526.0,1557.9,2630823,4089795662.35,1554.57,107072
05-Jul-2024,1562.0,1574.75,1557.0,1568.4,2481046,3890216272.35,1567.97,133303
08-Jul-2024,1570.6,1574.8,1550.95,1556.4,1120204,1747460959.65,1559.95,92207
09-Jul-2024,1564.8,1589.9,1549.8,1585.4,1492840,2349332346.2,1573.73,72512
10-Jul-2024,1592.8,1601.15,1567.6,1598.55,1899956,3020520197.05,1589.78,83978
11-Jul-2024,1601.0,1602.5,1572.3,1581.75,1707500,2698411683.65,1580.33,88157
12-Jul-2024,1582.0,1587.35,1550.0,1577.3,1426598,2253206891.1,1579.43,87346
15-Jul-2024,1579.95,1594.7,1577.3,1586.2,832804,1322661234.85,1588.2,49598
16-Jul-2024,1589.0,1595.0,1574.95,1579.3,688481,1089522140.3,1582.5,44342
16-Jul-2024,1589.0,1595.0,1574.95,1579.3,688481,1089522140.3,1582.5,44342
18-Jul-2024,1575.0,1596.6,1570.25,1594.25,1665636,2642621459.05,1586.55,123097
19-Jul-2024,1584.7,1589.75,1565.15,1568.65,1649335,2598551262.95,1575.51,94109
22-Jul-2024,1555.05,1589.5,1555.05,1587.35,826636,1308111660.75,1582.45,72625
23-Jul-2024,1587.0,1605.65,1574.3,1601.6,1502677,2395293922.3,1594.02,80503
24-Jul-2024,1602.0,1624.95,1592.0,1619.45,2923358,4722858328.9,1615.56,100300
25-Jul-2024,1614.85,1681.3,1602.2,1665.8,5329712,8761940272.8,1643.98,160941
26-Jul-2024,1670.45,1723.8,1665.0,1714.25,4591049,7803131798.95,1699.64,170732
29-Jul-2024,1715.25,1728.75,1692.75,1723.25,3187339,5448800434.25,1709.51,94587
30-Jul-2024,1716.1,1725.45,1697.0,1701.6,1525840,2608647114.5,1709.65,89407
31-Jul-2024,1702.1,1730.95,1695.2,1719.35,1594881,2739382593.95,1717.61,86664
01-Aug-2024,1725.5,1746.45,1681.3,1715.2,5258291,9030769809.65,1717.43,198851
02-Aug-2024,1700.0,1741.8,1683.85,1731.65,2992406,5152777624.0,1721.95,140796
05-Aug-2024,1725.0,1758.0,1715.0,1720.35,5165558,8976109902.35,1737.68,195151
06-Aug-2024,1725.0,1734.0,1703.95,1707.55,1710278,2938825579.85,1718.33,108661
07-Aug-2024,1720.0,1736.85,1709.4,1734.45,1922313,3327450519.75,1730.96,121844
08-Aug-2024,1735.0,1748.65,1728.35,1737.05,2480113,4312861224.05,1738.98,118685
09-Aug-2024,1749.8,1749.8,1730.05,1735.3,751683,1306251800.15,1737.77,70513
12-Aug-2024,1735.0,1748.5,1730.05,1733.85,1526788,2654416880.15,1738.56,56134
13-Aug-2024,1740.0,1751.85,1725.6,1740.1,2076963,3617511597.75,1741.73,113509
14-Aug-2024,1747.5,1753.0,1732.6,1741.65,2207250,3844152008.85,1741.6,95089
16-Aug-2024,1749.6,1751.15,1728.65,1742.75,2180718,3789477118.75,1737.72,160306
19-Aug-2024,1752.85,1752.85,1740.65,1747.8,1363446,2381278384.95,1746.51,60625
20-Aug-2024,1751.8,1770.8,1745.15,1766.35,1766597,3109133744.3,1759.96,90223
21-Aug-2024,1770.0,1771.95,1757.3,1764.65,1184193,2089172374.3,1764.22,65307
22-Aug-2024,1769.5,1769.5,1748.4,1750.65,1369554,2404428089.85,1755.63,89865
23-Aug-2024,1753.75,1781.45,1751.9,1775.75,3515492,6208704018.25,1766.1,98314
26-Aug-2024,1780.0,1780.0,1764.5,1772.45,933372,1654727924.7,1772.85,71159
27-Aug-2024,1778.0,1792.6,1767.15,1789.4,1231023,2200743941.8,1787.74,52821
28-Aug-2024,1796.9,1823.0,1786.35,1811.85,1768949,3196332228.9,1806.91,92975
29-Aug-2024,1809.9,1826.85,1790.25,1799.2,3205924,5785475793.5,1804.62,138915
30-Aug-2024,1798.15,1828.15,1791.3,1821.65,3036374,5524999622.75,1819.6,94251
02-Sep-2024,1829.95,1837.0,1805.2,1815.95,1617946,2943861357.2,1819.51,108702
03-Sep-2024,1820.0,1839.55,1805.1,1811.5,2148689,3921016821.6,1824.84,115219
04-Sep-2024,1811.5,1835.0,1801.3,1832.85,2473477,4506516145.9,1821.94,99722
05-Sep-2024,1833.2,1843.9,1820.0,1826.5,1902919,3489211644.7,1833.61,103900
06-Sep-2024,1819.55,1850.0,1805.0,1824.55,1701134,3103294752.6,1824.25,101459
09-Sep-2024,1824.55,1835.4,1812.85,1821.85,1544883,2811016062.5,1819.57,95530
10-Sep-2024,1830.0,1842.25,1825.7,1836.35,1460472,2682152065.25,1836.5,92559
11-Sep-2024,1836.4,1857.5,1831.1,1845.7,1701900,3147916923.95,1849.65,91741
12-Sep-2024,1855.15,1871.5,1840.4,1865.4,2744070,5097096736.05,1857.5,116803
13-Sep-2024,1865.0,1865.0,1851.4,1853.75,1322430,2455127939.5,1856.53,55041
16-Sep-2024,1862.0,1873.35,1850.9,1862.95,1284085,2392846583.4,1863.46,50731
17-Sep-2024,1863.0,1869.65,1859.25,1866.1,738265,1376876340.2,1865.02,58493
18-Sep-2024,1868.0,1868.0,1829.6,1836.0,1202676,2219407801.7,1845.39,76355
19-Sep-2024,1845.2,1856.0,1835.0,1846.05,1675819,3095293177.15,1847.03,96788
20-Sep-2024,1851.1,1871.0,1841.9,1865.75,4229991,7864759127.4,1859.29,158236
23-Sep-2024,1867.0,1875.0,1857.5,1862.7,812520,1514726214.95,1864.23,60570
24-Sep-2024,1856.0,1880.65,1856.0,1868.1,2528953,4725383664.05,1868.51,121682
25-Sep-2024,1874.0,1876.0,1858.55,1870.55,956893,1785202242.85,1865.62,85657
26-Sep-2024,1870.55,1905.0,1867.05,1898.4,2452807,4629345317.35,1887.37,130765
27-Sep-2024,1917.95,1959.3,1915.25,1948.7,3809008,7400205786.3,1942.82,188087
30-Sep-2024,1949.0,1960.35,1921.05,1926.7,2608461,5046303429.6,1934.59,129263
01-Oct-2024,1924.85,1934.75,1902.35,1919.95,1275678,2441353988.5,1913.77,69135
03-Oct-2024,1900.8,1936.3,1896.05,1910.85,2492195,4777239554.4,1916.88,166238
04-Oct-2024,1910.85,1952.25,1903.65,1910.05,2798189,5388548381.05,1925.73,165063
04-Oct-2024,1910.85,1952.25,1903.65,1910.05,2798189,5388548381.05,1925.73,165063
07-Oct-2024,1910.05,1917.95,1888.05,1905.25,1691999,3216696780.4,1901.12,145138
08-Oct-2024,1904.0,1921.45,1901.55,1917.15,2309881,4426287502.5,1916.24,213338
09-Oct-2024,1894.55,1947.0,1894.5,1930.85,1597182,3086088830.25,1932.21,177689
10-Oct-2024,1929.6,1937.95,1883.9,1887.75,2383012,4531184550.15,1901.45,148382
11-Oct-2024,1899.0,1909.35,1890.5,1901.95,1019117,1938324910.7,1901.97,80497
14-Oct-2024,1903.0,1915.75,1895.1,1909.75,676879,1290755502.15,1906.92,59416
15-Oct-2024,1918.0,1920.4,1894.65,1898.45,1383203,2629642835.65,1901.13,75076
16-Oct-2024,1908.95,1914.7,1887.0,1898.5,1401914,2661500978.0,1898.48,81168
17-Oct-2024,1923.55,1923.65,1879.65,1889.55,1447059,2737932701.65,1892.07,86943
18-Oct-2024,1900.0,1917.9,1872.7,1910.35,1203693,2295407952.55,1906.97,91186
21-Oct-2024,1918.8,1920.55,1890.55,1897.0,660583,1254875544.85,1899.65,68258
22-Oct-2024,1892.0,1906.0,1881.0,1887.55,1192915,2256028948.7,1891.19,121969
23-Oct-2024,1880.05,1889.55,1832.0,1839.35,1673366,3110646999.25,1858.92,108180
24-Oct-2024,1830.0,1859.55,1829.45,1848.9,1739776,3212491721.8,1846.5,121144
25-Oct-2024,1856.8,1875.6,1850.1,1860.4,2148004,4001909368.75,1863.08,142031
28-Oct-2024,1863.2,1916.0,1835.0,1902.9,2445724,4625135412.5,1891.11,180221
29-Oct-2024,1922.0,1922.7,1862.0,1871.6,2295542,4308705464.85,1876.99,124714
30-Oct-2024,1868.5,1880.9,1820.0,1852.1,1900203,3515325601.7,1849.97,103509
31-Oct-2024,1860.0,1872.5,1842.1,1848.9,2572932,4773906446.05,1855.43,130205
01-Nov-2024,1860.0,1864.95,1831.55,1858.4,107596,199469191.6,1853.87,10095
04-Nov-2024,1845.0,1845.0,1760.1,1808.9,5031861,9037890082.4,1796.13,220097
05-Nov-2024,1805.0,1833.0,1799.45,1803.6,1658010,3001225238.5,1810.14,97600
06-Nov-2024,1815.55,1840.0,1802.2,1827.45,2060619,3765473420.3,1827.35,111178
07-Nov-2024,1845.0,1845.0,1778.8,1790.95,1909269,3429376546.65,1796.17,94439
