Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,940.0,946.0,931.2,938.25,11792640,11076724156.05,939.29,358066
07-Jun-2024,940.0,973.0,935.25,970.5,15577866,14953276886.75,959.91,319681
10-Jun-2024,977.0,984.9,969.1,975.15,9258931,9037131825.15,976.04,202911
11-Jun-2024,973.8,992.55,966.65,987.1,14828702,14605301145.3,984.93,400232
12-Jun-2024,994.5,1010.25,987.0,988.7,17527993,17463864630.25,996.34,430324
13-Jun-2024,1002.0,1002.0,980.75,985.85,12157226,12018656079.65,988.6,295633
14-Jun-2024,990.0,997.25,981.4,993.4,11591421,11478053630.05,990.22,309906
18-Jun-2024,1000.0,1003.55,984.0,985.9,9845075,9768198778.4,992.19,284505
19-Jun-2024,990.0,994.9,975.15,977.35,7605719,7478762920.9,983.31,182319
20-Jun-2024,980.0,988.4,976.35,978.25,7299571,7164054388.95,981.43,175319
21-Jun-2024,979.0,980.9,958.1,961.8,14303735,13823176478.2,966.4,386477
24-Jun-2024,960.9,963.5,950.05,958.05,6655577,6375811978.75,957.97,182820
25-Jun-2024,960.0,962.85,949.3,955.0,7304128,6972550149.55,954.6,215159
26-Jun-2024,956.0,962.5,950.1,951.85,6908988,6608539093.4,956.51,182508
27-Jun-2024,952.5,974.85,948.05,972.1,19385412,18595083922.2,959.23,273327
28-Jun-2024,975.0,998.5,972.55,989.75,23025267,22790923244.55,989.82,426973
01-Jul-2024,989.75,1005.5,985.2,1002.05,14006105,13956345878.05,996.45,247271
02-Jul-2024,1004.05,1005.0,979.1,981.3,12284132,12141166752.35,988.36,252422
03-Jul-2024,984.95,987.35,973.5,975.65,7346258,7179527220.45,977.3,230730
04-Jul-2024,984.0,1004.0,979.6,998.2,12139832,12052690682.1,992.82,228411
05-Jul-2024,1005.0,1006.6,989.95,993.65,9050375,9022629661.7,996.93,207489
08-Jul-2024,1005.0,1016.6,996.2,1002.6,13312085,13390156806.85,1005.86,258538
09-Jul-2024,1000.95,1017.0,998.1,1014.95,10948094,11067756784.35,1010.93,204321
10-Jul-2024,1015.0,1019.85,986.05,1005.5,13412206,13500445675.6,1006.58,266731
11-Jul-2024,1008.0,1025.5,1007.05,1020.8,11983571,12224730348.7,1020.12,262202
12-Jul-2024,1023.85,1025.9,1015.0,1016.75,7339644,7488335702.4,1020.26,177026
15-Jul-2024,1021.35,1029.8,1017.3,1024.45,5847333,5996756146.45,1025.55,159747
16-Jul-2024,1025.5,1029.6,1019.2,1021.15,4824555,4937999824.75,1023.51,112175
16-Jul-2024,1025.5,1029.6,1019.2,1021.15,4824555,4937999824.75,1023.51,112175
18-Jul-2024,1022.95,1027.0,1008.0,1024.55,8010324,8162846376.75,1019.04,227199
19-Jul-2024,1024.0,1024.0,986.65,990.0,7400178,7418029167.7,1002.41,222285
22-Jul-2024,990.0,1008.0,976.55,1003.15,7396198,7370349634.0,996.51,184710
23-Jul-2024,1007.9,1008.65,967.2,1001.8,10384177,10343474615.85,996.08,278738
24-Jul-2024,997.8,1034.25,995.15,1027.7,11469098,11747466151.5,1024.27,253508
25-Jul-2024,1029.0,1094.0,1024.35,1090.95,32766835,35148851986.1,1072.7,643962
26-Jul-2024,1111.95,1120.5,1083.6,1118.3,21232845,23407596444.55,1102.42,350076
29-Jul-2024,1124.0,1139.9,1118.6,1124.0,11850624,13355395151.85,1126.98,240071
30-Jul-2024,1125.8,1179.0,1118.6,1161.85,28592304,33154978461.75,1159.58,479248
31-Jul-2024,1164.0,1167.9,1145.3,1156.65,10860623,12551738775.95,1155.71,276733
01-Aug-2024,1167.0,1176.0,1136.5,1144.4,14375948,16565040996.0,1152.27,315403
02-Aug-2024,1120.0,1120.0,1090.05,1096.65,21967812,24216406152.15,1102.36,521622
05-Aug-2024,1059.95,1065.0,1014.05,1016.45,26651144,27575430534.5,1034.68,774396
06-Aug-2024,1030.0,1060.65,1008.4,1013.75,16726393,17267402640.3,1032.34,529099
07-Aug-2024,1036.05,1040.2,1015.05,1025.3,9978703,10199927148.55,1022.17,270211
08-Aug-2024,1034.95,1056.4,1027.0,1041.75,19529790,20388169431.55,1043.95,398999
09-Aug-2024,1055.0,1082.95,1052.05,1068.1,15443008,16529164246.2,1070.33,403926
12-Aug-2024,1065.0,1079.9,1055.0,1076.15,11311050,12155120942.6,1074.62,283848
13-Aug-2024,1074.85,1075.5,1048.2,1053.45,7508231,7946993629.2,1058.44,256317
14-Aug-2024,1057.0,1067.05,1047.0,1062.35,8211830,8698160597.85,1059.22,338678
16-Aug-2024,1072.0,1099.95,1070.0,1098.35,11435650,12452712625.8,1088.94,359319
19-Aug-2024,1105.9,1107.0,1085.0,1087.7,6911441,7542757858.8,1091.34,215413
20-Aug-2024,1097.0,1098.05,1082.05,1086.9,5625723,6115056870.4,1086.98,152463
21-Aug-2024,1089.0,1095.3,1083.3,1085.2,4869876,5294953041.1,1087.29,140012
22-Aug-2024,1090.0,1094.75,1064.95,1068.45,9377476,10062458859.25,1073.05,213793
23-Aug-2024,1073.0,1092.6,1071.0,1085.15,10179655,11036665762.2,1084.19,212611
26-Aug-2024,1089.0,1103.35,1082.85,1092.4,9415039,10310860261.9,1095.15,206672
27-Aug-2024,1093.05,1096.65,1075.0,1077.25,8813305,9549007082.9,1083.48,188735
28-Aug-2024,1082.95,1088.7,1070.1,1074.55,8145376,8782338142.85,1078.2,145258
29-Aug-2024,1079.05,1142.0,1066.0,1121.65,40658159,45093083295.55,1109.08,410027
30-Aug-2024,1113.95,1115.0,1097.45,1111.35,17647545,19579798333.8,1109.49,276947
02-Sep-2024,1105.0,1105.0,1087.35,1092.65,8116675,8881710477.65,1094.25,206392
03-Sep-2024,1097.6,1100.0,1082.2,1085.1,5088731,5542659967.15,1089.2,164019
04-Sep-2024,1079.0,1085.0,1072.1,1080.45,4665908,5030680535.7,1078.18,140011
05-Sep-2024,1081.0,1085.85,1066.95,1069.15,7900593,8492090556.35,1074.87,224556
06-Sep-2024,1068.8,1072.95,1040.5,1049.35,8717377,9170490006.7,1051.98,307427
09-Sep-2024,1049.35,1049.95,1026.25,1038.7,7206054,7458538437.0,1035.04,250411
10-Sep-2024,1049.0,1049.0,1032.2,1035.8,6919238,7187165122.0,1038.72,254751
11-Sep-2024,1000.0,1011.55,971.25,976.3,36140411,35554573915.35,983.79,1060328
12-Sep-2024,976.3,988.0,958.0,986.15,25675836,24994836924.25,973.48,612687
13-Sep-2024,994.9,1006.0,988.0,992.1,13203676,13135330656.1,994.82,330078
16-Sep-2024,997.0,999.9,984.5,988.4,5836274,5780110599.55,990.38,189546
17-Sep-2024,995.0,995.0,960.0,974.95,44516613,43144098335.6,969.17,518729
18-Sep-2024,978.2,983.7,957.15,962.05,12044431,11668131471.45,968.76,241634
19-Sep-2024,970.4,978.95,956.35,967.0,13466770,13011704761.55,966.21,318723
20-Sep-2024,967.0,977.5,949.2,970.85,16764981,16241531315.75,968.78,345069
23-Sep-2024,973.5,979.2,966.05,971.8,10254297,9969567890.4,972.23,260064
24-Sep-2024,974.0,985.0,972.6,977.3,12755422,12473906842.3,977.93,369601
25-Sep-2024,982.4,982.5,959.25,963.6,12959075,12506901289.0,965.11,483047
26-Sep-2024,970.8,994.95,965.6,993.15,21640021,21300573909.5,984.31,411197
27-Sep-2024,996.0,1000.4,989.15,993.0,10360030,10299508735.85,994.16,302339
30-Sep-2024,993.0,996.95,971.8,974.65,12225895,11970675193.8,979.12,375285
01-Oct-2024,976.9,984.5,958.9,965.2,10085203,9810098380.4,972.72,247160
03-Oct-2024,939.0,950.15,925.0,925.7,24418517,22819300079.7,934.51,867561
04-Oct-2024,930.0,949.2,920.0,930.75,19187758,17925620904.35,934.22,464043
04-Oct-2024,930.0,949.2,920.0,930.75,19187758,17925620904.35,934.22,464043
07-Oct-2024,942.0,944.45,915.0,927.85,11772546,10937292703.65,929.05,349818
08-Oct-2024,916.0,924.8,893.85,919.8,21177886,19264094909.95,909.63,581422
09-Oct-2024,926.8,948.45,925.5,939.15,11557737,10877673698.75,941.16,317263
10-Oct-2024,933.75,943.6,912.35,928.5,13249851,12351400535.9,932.19,350137
11-Oct-2024,932.0,937.0,928.5,930.7,4459529,4156304745.4,932.01,151010
14-Oct-2024,930.0,940.0,925.35,928.25,5740649,5354215635.85,932.68,207829
15-Oct-2024,932.95,935.35,913.0,917.3,9058919,8337624875.65,920.38,281499
16-Oct-2024,917.05,923.0,900.0,907.45,10298258,9365210713.5,909.4,370552
17-Oct-2024,914.95,914.95,890.05,891.6,13864583,12476479509.4,899.88,552996
18-Oct-2024,894.3,917.7,886.8,910.15,11527914,10454074347.95,906.85,300927
21-Oct-2024,912.05,917.65,898.1,903.3,7390557,6688654541.95,905.03,204274
22-Oct-2024,905.0,906.1,875.25,879.5,13617490,12065421624.5,886.02,532014
23-Oct-2024,879.0,885.6,863.3,877.65,10553771,9248988266.3,876.37,356148
24-Oct-2024,875.25,890.0,875.25,880.0,7233484,6385016045.35,882.7,286907
25-Oct-2024,883.9,885.75,857.3,864.3,10873022,9413779457.85,865.79,379450
28-Oct-2024,867.85,886.75,860.2,878.45,7106045,6227576352.3,876.38,203043
29-Oct-2024,880.25,882.5,825.7,842.75,26818871,22609893023.45,843.06,726757
30-Oct-2024,846.0,853.6,838.05,840.2,12933218,10939624878.4,845.85,328464
31-Oct-2024,843.85,843.85,831.85,834.05,11904413,9947196716.7,835.59,287659
01-Nov-2024,847.95,847.95,840.0,843.45,2900548,2449618401.3,844.54,134792
04-Nov-2024,840.0,844.45,814.5,824.1,15514419,12764767992.3,822.77,467713
05-Nov-2024,821.5,843.6,820.4,835.65,10215249,8503192983.75,832.4,255937
06-Nov-2024,843.9,843.9,826.0,839.7,10579596,8845713534.7,836.11,273406
07-Nov-2024,841.0,842.75,817.3,819.75,13237161,10943575455.95,826.73,381746
08-Nov-2024,821.95,822.0,801.1,805.45,16072692,12975278301.6,807.29,478152
11-Nov-2024,801.0,831.45,792.0,804.7,27587619,22529943363.6,816.67,575463
12-Nov-2024,806.0,813.1,783.05,784.85,16526921,13099259115.85,792.6,594079
13-Nov-2024,787.0,792.65,775.55,786.25,14674022,11528210756.95,785.62,391032
13-Nov-2024,787.0,792.65,775.55,786.25,14674022,11528210756.95,785.62,391032
14-Nov-2024,786.6,792.0,772.0,774.3,11740909,9151258844.2,779.43,313693
18-Nov-2024,778.0,781.75,759.2,771.9,17053446,13141359276.3,770.6,419815
19-Nov-2024,771.9,799.9,771.9,783.2,14012014,11072336524.2,790.2,279101
21-Nov-2024,784.95,785.95,766.25,773.85,14194678,11014364694.6,775.95,319937
22-Nov-2024,775.0,794.0,775.0,791.0,14535112,11404108458.45,784.59,300768
25-Nov-2024,808.05,810.2,793.65,796.6,15194167,12150725002.25,799.7,263327
26-Nov-2024,797.15,801.8,780.15,783.0,10310838,8138874098.8,789.35,227912
27-Nov-2024,785.05,791.9,779.1,783.95,10014685,7864975782.45,785.34,200451
28-Nov-2024,783.0,792.55,778.0,779.45,10939142,8582655140.35,784.58,272953
