Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,170.0,174.7,169.4,172.05,57920819,9981849630.15,172.34,502032
07-Jun-2024,172.0,179.65,170.8,178.9,84319867,14936104189.4,177.14,488851
10-Jun-2024,180.21,182.1,177.36,180.29,74286848,13401077404.61,180.4,320294
11-Jun-2024,180.5,183.75,180.5,181.33,55555544,10114635970.89,182.06,324246
12-Jun-2024,182.25,183.87,181.5,182.23,33304643,6093095872.19,182.95,254524
13-Jun-2024,183.4,184.1,180.51,182.56,36669164,6682115954.32,182.23,332013
14-Jun-2024,182.95,183.5,181.4,183.15,28509237,5205931798.41,182.61,232292
18-Jun-2024,183.8,184.6,180.6,181.12,35032118,6379881671.57,182.12,295636
19-Jun-2024,182.45,182.49,179.31,180.02,27476795,4963157445.21,180.63,197494
20-Jun-2024,181.6,182.95,179.37,182.28,38837494,7064844872.79,181.91,278129
21-Jun-2024,179.4,180.9,178.18,179.94,65494855,11773631523.51,179.76,284687
24-Jun-2024,177.44,178.95,175.1,177.96,47597307,8437045247.9,177.26,314462
25-Jun-2024,177.99,179.0,175.25,175.68,30599989,5404151626.85,176.61,325368
26-Jun-2024,175.68,176.0,171.84,172.56,44006436,7607181995.48,172.87,346807
27-Jun-2024,172.56,174.95,171.8,174.16,49767976,8630291052.14,173.41,349831
28-Jun-2024,174.17,177.1,173.57,174.01,37521949,6577242858.11,175.29,275273
01-Jul-2024,174.5,175.99,173.51,174.07,27807688,4855862130.02,174.62,260872
02-Jul-2024,174.47,175.75,173.6,174.54,33359495,5822581444.09,174.54,390213
03-Jul-2024,174.54,176.88,174.4,176.37,29090492,5107040274.06,175.56,339843
04-Jul-2024,177.0,178.19,175.82,176.29,29504744,5217839029.17,176.85,378450
05-Jul-2024,176.2,176.2,173.4,174.71,38123217,6658321110.79,174.65,262997
08-Jul-2024,174.6,175.47,172.09,172.28,31479861,5457079671.28,173.35,256103
09-Jul-2024,173.6,173.7,171.51,171.8,25127904,4329905477.88,172.31,360530
10-Jul-2024,172.5,172.89,167.02,167.98,41525591,7007841961.34,168.76,356940
11-Jul-2024,170.0,170.95,168.67,168.92,33987236,5761712816.45,169.53,328338
12-Jul-2024,170.2,170.39,168.01,168.69,33311402,5628797434.72,168.98,209844
15-Jul-2024,168.69,168.99,165.8,166.76,32635187,5450597682.05,167.02,325344
16-Jul-2024,167.8,169.82,166.7,167.07,26506026,4457105771.25,168.15,228148
16-Jul-2024,167.8,169.82,166.7,167.07,26506026,4457105771.25,168.15,228148
18-Jul-2024,167.61,167.61,164.44,166.36,36568852,6055894401.51,165.6,344341
19-Jul-2024,166.0,166.09,157.2,157.77,77987514,12467382132.43,159.86,697738
22-Jul-2024,158.4,160.7,156.41,160.32,40353690,6439780658.54,159.58,388728
23-Jul-2024,161.6,161.97,155.0,160.02,37077411,5900678615.09,159.14,369290
24-Jul-2024,160.02,162.02,159.19,160.31,28086566,4517254761.79,160.83,224594
25-Jul-2024,158.5,158.5,156.9,157.39,45155876,7112129022.84,157.5,340737
26-Jul-2024,158.75,162.95,158.21,162.55,45642032,7388688304.32,161.88,292607
29-Jul-2024,164.7,164.7,162.33,162.87,31754833,5186346203.02,163.32,253901
30-Jul-2024,162.9,165.3,161.31,164.07,42824600,6998937220.51,163.43,309634
31-Jul-2024,166.29,166.5,163.55,165.33,52769925,8695459962.33,164.78,277640
01-Aug-2024,168.2,168.95,160.9,163.06,118341338,19412642515.8,164.04,512835
02-Aug-2024,161.0,161.19,154.72,158.22,72427529,11464627804.85,158.29,669777
05-Aug-2024,153.66,154.0,149.0,149.82,102883971,15554900022.6,151.19,917741
06-Aug-2024,151.21,153.8,149.61,150.32,53507102,8107188228.99,151.52,589379
07-Aug-2024,153.7,154.3,151.9,153.86,32029697,4902170111.94,153.05,309953
08-Aug-2024,153.4,153.44,150.0,150.28,51858615,7847312494.99,151.32,371279
09-Aug-2024,153.0,153.0,151.25,151.81,23290101,3541492860.0,152.06,259551
12-Aug-2024,151.0,153.4,149.88,152.06,30550334,4647383059.79,152.12,238401
13-Aug-2024,152.1,152.95,148.5,148.88,29396493,4421844562.26,150.42,300330
14-Aug-2024,149.9,149.9,142.35,146.17,97911180,14243851337.9,145.48,569116
