,Average Weight,Max Weight,Min Weight,Weight Volatility,Days Active
ADANIPORTS,0.0019048497567208215,0.199998523663004,0.0,0.019517847343306655,1
ASIANPAINT,0.0038096970758652836,0.1999980769426728,0.0,0.027469292164853668,2
AXISBANK,0.053333040782045135,0.1999988124149743,0.0,0.08886672622547294,28
BAJAJ-AUTO,0.0038096699984206555,0.1999996140327143,0.0,0.02746950582301875,2
BAJAJFINSV,0.005714436538089054,0.2000004001970071,0.0,0.03347952154946266,3
BAJFINANCE,2.4708967397689274e-07,1.1690326198044056e-06,0.0,1.8312271718046648e-07,0
BHARTIARTL,0.009524015449607442,0.2000015559825261,0.0,0.042795901274977705,5
BPCL,2.4708967397689274e-07,1.1690326198044056e-06,0.0,1.8312271718046648e-07,0
BRITANNIA,0.06010552093786151,0.2000003481775974,0.0,0.09110030940818807,36
CIPLA,0.005714472806427881,0.1999992854449654,0.0,0.03347934185671312,3
COALINDIA,0.0010583884629694138,0.0222232691388719,0.0,0.004755236549359296,5
DRREDDY,0.002116517182664611,0.0222232706585248,0.0,0.006554575222662504,10
EICHERMOT,1.833569439313886e-07,1.1609466139036696e-06,0.0,2.05119219730326e-07,0
GRASIM,0.017354521056099952,0.1999982620295149,0.0,0.05623295752895321,10
HCLTECH,2.511116515547181e-07,1.1610114811738567e-06,0.0,1.7906364472130295e-07,0
HDFCBANK,0.015238278312548256,0.2000013066605199,0.0,0.05331494396230833,8
HDFCLIFE,0.11047556586604339,0.1999999843209077,0.0,0.09992591425084606,58
HEROMOTOCO,0.001904965652140849,0.1999984068826754,0.0,0.01951782441782211,1
HINDUNILVR,1.5985933919533894e-07,1.1609550275198034e-06,0.0,2.1313593366241873e-07,0
ICICIBANK,2.0335994024863163e-07,1.1609582587648654e-06,0.0,1.9929789178250255e-07,0
INDUSINDBK,0.06285688631261256,0.2000013066458448,0.0,0.0932908020131158,33
INFY,0.019257824538896705,0.1999994266699602,0.0,0.05699165427909299,11
IOC,2.4708967397689274e-07,1.1690326198044056e-06,0.0,1.8312271718046648e-07,0
ITC,0.022857265926027742,0.2000003825024646,0.0,0.0639365651081428,12
JSWSTEEL,0.0076192524096061615,0.2000007213778665,0.0,0.038468841621203766,4
KOTAKBANK,1.6810242250623406e-07,1.1609481264504526e-06,0.0,2.1065285635535275e-07,0
LT,0.011640290782742011,0.1999989067337896,0.0,0.046643441925346245,7
MARUTI,0.03047617603364705,0.2000000427634971,0.0,0.0722222376328644,16
NESTLEIND,0.0019049858986264184,0.1999999113577991,0.0,0.019517970656423186,1
NTPC,0.15047527809139347,0.2000014658175189,0.0,0.08673923964339991,79
ONGC,0.005714447066258031,0.20000073139288,0.0,0.03347953108397032,3
POWERGRID,2.4708967397689274e-07,1.1690326198044056e-06,0.0,1.8312271718046648e-07,0
RELIANCE,0.0452914646833541,0.2000015351140453,0.0,0.08205166952118047,27
SBIN,0.011428759417295988,0.2000011547994719,0.0,0.04664564234852114,6
SHREECEM,0.0742853317599333,0.2000013067058102,0.0,0.09710014548877047,39
SUNPHARMA,2.0462323791811704e-07,1.1609697532907774e-06,0.0,1.9672769065110695e-07,0
TATACONSUM,0.06793623685762186,0.2000010715170033,0.0,0.09396906348606514,41
TATAMOTORS,0.029841014044002342,0.1999999410376546,0.0,0.06889553510543578,23
TATASTEEL,0.04613703472423427,0.2000014012627887,0.0,0.0833005587738754,28
TCS,0.0019049467775751894,0.1999997319804831,0.0,0.01951795683728106,1
TECHM,2.2835469349973915e-07,1.161028061213616e-06,0.0,1.9242183944655728e-07,0
TITAN,0.019047700958851783,0.1999993834358173,0.0,0.058989891884608875,10
ULTRACEMCO,0.011851915129119166,0.2000003254221637,0.0,0.046640617916389744,8
UPL,0.034285524093434216,0.1999983588741073,0.0,0.07573737450550953,18
WIPRO,0.05312133748933836,0.2000003393750986,0.0,0.08647832008533736,31
