id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1889970428707569783,"✅ Agar koi police wala banke aapko call karein, toh hamesha unki identity official websites aur contact numbers se verify karein, na ki search engine results ya caller ki di hui information pe bharosa.

✅ Official government ya legal investigations mein arrest se bachne ke liye, authorities kabhi paisa nahi maangte. Agar aapko paise transfer karne ke liye bola jaaye, toh samajh jaao ki ye fraud hai.",Thu Feb 13 09:30:38 +0000 2025,0,1,1,0,1207,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1889970428707569783
1752906085596643657,"Q3 FY24 marked a quarter of growth and strategic developments for Bajaj Finserv. Consolidated total income grew 33% to Rs. 29,038 crore and profit after tax was up 21% to Rs. 2,158 crore.

Read more here: https://t.co/QoPSG7s0ww

@Bajaj_Finance @BajajAllianzLIC @BajajAllianz 

#BajajFinserv #FinancialResults #Q3FY24",Thu Feb 01 04:05:52 +0000 2024,1,0,4,0,753,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1752906085596643657
1718307283275317263,"Bajaj Finserv Q2 FY24 Performance Highlights

📈Consolidated total income: ₹ 26,023 crore ( ⬆️ 25% )

📊 Consolidated profit after tax: ₹ 1,929 crore ( ⬆️ 24% )

📖 Read more: https://t.co/uG3T1IGb9E

💼 #BajajFinserv #BFSI #FinancialResults #FY24 #Q2FY24 💼 https://t.co/uyumxE141K",Sat Oct 28 16:42:35 +0000 2023,4,1,9,0,1067,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1718307283275317263
1709863498543501475,"Just like your earnings applied to tax deductions, the interest you earn from making various investments is also applicable to tags reductions also known as TDS on FD. Take a look at how TDS affects your FD investment earnings: https://t.co/0aO48mXpOR #BajajFinserv #BajajFinance",Thu Oct 05 09:30:00 +0000 2023,0,2,0,0,449,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1709863498543501475
1692030996122923254,"If you aim to effectively handle your monthly earnings, consider placing them into secure instruments that don't necessitate substantial initial investments. Click here and explore some investment options to get started: https://t.co/ccUAUl7oCa 
#BajajFinserv #BajajFinance",Thu Aug 17 04:30:00 +0000 2023,1,3,1,0,552,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1692030996122923254
1690958931559149568,"Just like your earnings applied to tax deductions, the interest you earn from making various investments is also applicable to reductions, also known as TDS on FD. Take a look at how TDS affects your FD investment earnings: https://t.co/0aO48mXXEp #BajajFinserv #BajajFinance",Mon Aug 14 05:30:00 +0000 2023,0,2,0,0,418,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1690958931559149568
1685208416191672320,"Bajaj Finserv Q1 FY24 results: Consolidated Profit After Tax at an all-time high of Rs. 1,943 crore, up 48%. Read more: https://t.co/uG3T1IGIZc

#BajajFinserv #AnnualResults #BFSI #FinancialResults #FY24 #Q1FY24 https://t.co/KaAO1c7HKt",Sat Jul 29 08:39:30 +0000 2023,7,1,17,1,2175,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1685208416191672320
1659793575452745729,"Just like your earnings applied to tax deductions, the interest you earn from making various investments is also applicable to tax deductions also known as TDS on FD. Take a look at how TDS affects your FD investment earnings: https://t.co/0aO48mXpOR #BajajFinserv #BajajFinance",Sat May 20 05:30:00 +0000 2023,0,0,0,0,541,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1659793575452745729
1651899993928929280,"Bajaj Finserv FY23 results: Consolidated Profit After Tax at an all-time high of Rs. 6,417 crore, up 41%. Details here- https://t.co/bgpT9OZVTy 

#BajajFinserv #AnnualResults #BFSI #FinancialResults #Performance #FY23
@Bajaj_Finance @BajajAllianz @BajajAllianzLIC https://t.co/Lq0vKYmyXW",Fri Apr 28 10:43:44 +0000 2023,1,0,6,0,874,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1651899993928929280
1621395668337328129,"Right financial planning gives top #class results

#BajajFinserv #BajajFinance https://t.co/RLJ82vEhEi",Fri Feb 03 06:30:26 +0000 2023,19,0,98,0,34401,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1621395668337328129
1620035745171009537,"Bajaj Finserv Q3FY23 results: Consolidated Profit After Tax at an all-time high of Rs. 1,782 crore, up 42% YoY. Details here- https://t.co/7a4tXFkOty

#BajajFinserv #QuaterlyResults #BFSI #FinancialServices https://t.co/TLJ2FfM135",Mon Jan 30 12:26:35 +0000 2023,8,0,15,1,1265,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1620035745171009537
1617496579929444352,"When ""Word Replacement"" gives you motivating results

#FixedDeposit #BajajFinance #BajajFinserv https://t.co/tnkupBiIHI",Mon Jan 23 12:16:50 +0000 2023,1,0,3,0,1038,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1617496579929444352
1615653977525305344,"If you are looking for a secure form of investment, FDs can help you grow your money easily. It provides stable returns and periodic interest payouts. Here are some steps to help you grow your #earnings via fixed deposits: https://t.co/4nJXBVXCbP #BajajFinserv #BajajFinance",Wed Jan 18 10:15:00 +0000 2023,0,0,0,0,245,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1615653977525305344
1596066163775225856,Poor cash management results in a lack of funds or insufficient funds for daily operations. Click here to learn about common cash management mistakes that you should know of: https://t.co/SnxwR2JChb #BajajFinserv #BajajFinance,Fri Nov 25 09:00:01 +0000 2022,0,0,1,0,0,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1596066163775225856
1595733975460298752,It is natural to overlook elements like a balanced portfolio in the rush to profit from investments. Click here to learn more: https://t.co/AGYLAxJ2bX #BajajFinserv #BajajFinance #Investment,Thu Nov 24 11:00:01 +0000 2022,0,0,2,0,0,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1595733975460298752
1595696221565222912,FDs can help you grow your money if you are looking for a secure form of investment. Click here to learn few steps to help you grow your earnings via fixed deposits: https://t.co/4nJXBVG0Nf #BajajFinserv #BajajFinance #FixedDeposit,Thu Nov 24 08:30:00 +0000 2022,0,0,1,0,0,en,Bajaj_Finserv,Bajaj_Finserv,https://x.com/Bajaj_Finserv/status/1595696221565222912
