id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1864278887384973793,"@RT_com Oye güey…. Tu eres  basura Rus, Norman’s, Boche, Scoti, Brits, Celtica, Britannia, Germania, Poland, Korea, Japan, China, and everyone else who acknowledges the false image of North America while claiming piety. I spit on you blasphemy. Se chanto buey. 

https://t.co/lKeSLWYh8D",Wed Dec 04 12:01:38 +0000 2024,0,1,0,0,51,en,king0fheartsz,The Mischling Man,https://x.com/king0fheartsz/status/1864278887384973793
1338905755295100928,"Cardiff Council: Save Cardiff Bay's Britannia Park - Sign the Petition! https://t.co/24P04lI47V via @UKChange

RT this far and wide.
Tiger bay does not need this oppressive monument. 
Their community should be celebrated.
It was never economically viable, even more so now.",Tue Dec 15 17:56:22 +0000 2020,0,0,1,0,0,en,CymroA,Gweriniaeth Mike🏴󠁧󠁢󠁷󠁬󠁳󠁿 #FBIW,https://x.com/CymroA/status/1338905755295100928
1338420756670263296,"@cardiffcouncil bought this land after residents campaigned to save it from being converted into flats &amp; are now going to sell it to a monument to the British Empire on the steps of the Senedd &amp;the historic neighbourhood Tiger Bay and the Docks sign&amp;RT:
https://t.co/l7FDB68Ork https://t.co/U1uiyTDebp",Mon Dec 14 09:49:09 +0000 2020,0,0,1,0,0,en,YesTigerBay,Yes Tiger Bay,https://x.com/YesTigerBay/status/1338420756670263296
1338419858162266112,"@cardiffcouncil bought this land after residents campaigned to save it from being converted into flats &amp; are now going to sell it to a monument to the British Empire on the steps of the Senedd &amp;the historic neighbourhood @YesTigerBay and the Docks sign&amp;RT:
https://t.co/5JQG3veRCV https://t.co/eXKNrDpDbX",Mon Dec 14 09:45:35 +0000 2020,16,2,24,2,0,en,yesismorecymru,Yes is More!,https://x.com/yesismorecymru/status/1338419858162266112
1337696357935685632,"shout out to all Cardiff ppl ... pls sign and RT , make some noise over the weekend, this is a big two fingers to the local community once again. 👇

https://t.co/kFXm19jrHb",Sat Dec 12 09:50:39 +0000 2020,18,0,9,0,0,en,cianciaran,cian ciarán,https://x.com/cianciaran/status/1337696357935685632
1298216597090439168,"@Iromg plz rt 

Tim Davie, BBC Director General: Save Rule Britannia and Land of Hope and Glory from Last Night of the Proms ban - Sign the Petition! https://t.co/VFFSSHzp3L via @UKChange",Tue Aug 25 11:12:11 +0000 2020,0,0,0,0,0,en,ARWURZELBS3,SoberCity⚽️🫡,https://x.com/ARWURZELBS3/status/1298216597090439168
1297581401164992513,The Rt Hon Oliver Dowden CBE MP: Do NOT allow the BBC to axe Rule Britannia and Land of Hope and Glory from the Proms’ - Sign the Petition! https://t.co/vks7wHJsIy via @Change,Sun Aug 23 17:08:08 +0000 2020,0,0,0,0,0,en,Dan100003,nic,https://x.com/Dan100003/status/1297581401164992513
1239997561555083264,"RT @BNArchive: In 1828 Edinburgh witnessed murders of 16 people, perpetrated by William #Burke and William #Hare, who sold their victims to Robert Knox for dissection in his anatomy lectures. Britannia and Eve, 1 Aug 1939, tells the tale... https://t.co/kgAopujy6f https://t.co/3KiQzYapwL",Tue Mar 17 19:30:31 +0000 2020,0,0,1,0,0,en,18thCand19thC,Geri Walton,https://x.com/18thCand19thC/status/1239997561555083264
806598004887195652,.BritsForTheEU has it right! https://t.co/8boq1LE1NR RT hmy_britannia: #sleafordandnorthhykeham Disgusting: false claim over son blown up …,Wed Dec 07 20:35:24 +0000 2016,0,0,0,0,0,en,AlisonKMurray,Alison 💙 🇪🇺 🕷️#Maskateer #FBClimate #FBPE,https://x.com/AlisonKMurray/status/806598004887195652
806596058432290816,Time for a rethink #Sleaford https://t.co/8boq1LE1NR Thanks BritsfortheEU RT hmy_britannia: #sleafordandnorthhykeham Disgusting: false cla…,Wed Dec 07 20:27:40 +0000 2016,0,0,0,0,0,en,AlisonKMurray,Alison 💙 🇪🇺 🕷️#Maskateer #FBClimate #FBPE,https://x.com/AlisonKMurray/status/806596058432290816
527227225616048128,"OK! RT @JimmyJamesDavis
@BryanMMoore @LoriMoreno @YogaArmy @TheTinaDavis @adryenn first #selfie in room #Britannias http://t.co/8CYL1vaeCO …",Tue Oct 28 22:35:40 +0000 2014,0,1,1,0,0,en,LoriMoreno,#InfluencerMarketing Host,https://x.com/LoriMoreno/status/527227225616048128
416857272657387520,RT @SW_Trains: #SWTstorm : Due to damage caused by the bad weather please read the following link http://t.co/rgEzpuQxB6 #citybiz #bizitalk,Sat Dec 28 09:04:53 +0000 2013,0,0,0,0,0,en,Britannia_Trvl,Britannia Travel,https://x.com/Britannia_Trvl/status/416857272657387520
282179502405193728,"RT@ParkBoard Solstice Lantern Festival: Community Centre events tonite @ Roundhouse, Creekside, Britannia &amp; False Creek http://t.co/6WQPVybd",Fri Dec 21 17:43:30 +0000 2012,1,0,0,0,0,en,Minglers,Vancouver Minglers,https://x.com/Minglers/status/282179502405193728
1421349743570022400,"Our MD, @realvarunberry on the company's performance this quarter. 
#Britannia https://t.co/V6zJfZV0eh",Sat Jul 31 05:59:20 +0000 2021,1,0,15,1,0,en,BritanniaIndLtd,Britannia Industries Limited,https://x.com/BritanniaIndLtd/status/1421349743570022400
1421349732518031362,"Here's our Q1 FY 2021-2022 Results.  
#Britannia https://t.co/h7xr0Z5jvF",Sat Jul 31 05:59:18 +0000 2021,3,16,47,2,0,en,BritanniaIndLtd,Britannia Industries Limited,https://x.com/BritanniaIndLtd/status/1421349732518031362
