id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1052895393602838529,"ITCNews RT ITC_MktAnalysis: You can find🔎 #AfCFTA Rules of Origin displayed and explained in 🆕 #RulesOfOriginFacilitator 

Check them out now! 😎👇 
https://t.co/eufVGUpU8P #RoOFriday #WEDF18 https://t.co/xa13BtONxm",Thu Oct 18 12:13:18 +0000 2018,0,0,0,0,0,en,IntTradeCouncil,The International Trade Council,https://x.com/IntTradeCouncil/status/1052895393602838529
1925610337006727388,"#Highlights - ITC #FinancialResults for the quarter and year ended 31st March, 2025.

For details - 
Media Statement:  https://t.co/bAU9SBW0VS

Fourth Quarter Investor Presentation:  https://t.co/WeljR6ugWe

#ITC #QuarterlyResults https://t.co/D9hBGxVlL9",Thu May 22 17:50:55 +0000 2025,8,13,48,0,4238,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1925610337006727388
1888181139162194376,"Discover our latest FMCG launches in Q3 FY 2025.

Delighting the Indian consumer
#TheITCWay #FMCG #Q3Results https://t.co/kYmXynRH2O",Sat Feb 08 11:00:38 +0000 2025,6,21,78,0,5535,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1888181139162194376
1887543482840948824,"#Highlights - ITC #FinancialResults for the Quarter ended December 31, 2024

More highlights in the carousel.

For Details -
Media Statement: https://t.co/9SJKjG6lS9
Third Quarter Presentation: https://t.co/ZI28gjjqpG

#ITC #QuarterlyResults https://t.co/svWrNqjfRr",Thu Feb 06 16:46:49 +0000 2025,14,10,82,0,7945,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1887543482840948824
1849493662511792441,"#Highlights - ITC #Financialresults for the Quarter ended September 30, 2024

More highlights in the carousel.

Media Statement:https://t.co/X6x75oh1es

Second quarter presentation:https://t.co/W6AWArmnS1 https://t.co/gbinkpZkHK",Thu Oct 24 16:50:25 +0000 2024,8,8,66,0,5010,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1849493662511792441
1819008950177566770,"#Highlights - ITC #Financialresults for the Quarter ended June 30, 2024.
For details read the Media Statement:https://t.co/9kvFKsSz4H

First quarter presentation:https://t.co/EsytUuaxGO https://t.co/szbgaLgTwS",Thu Aug 01 13:55:03 +0000 2024,6,5,69,2,5173,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1819008950177566770
1793658849385422971,Fourth quarter presentation: https://t.co/ySt023L1aS https://t.co/toCpHNZ8wW,Thu May 23 15:02:48 +0000 2024,0,1,5,0,502,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1793658849385422971
1793658831635153025,"#Highlights - ITC #Financialresults for the Quarter ended March 31st, 2024

Gross Revenue at Rs. 69446 cr., up 6.8% (ex-Agri Business) and PAT at Rs. 20422 cr. up 8.9% YoY

More highlights in the carousel.

Media Statement: https://t.co/t5vHMvVoxB https://t.co/nMYUxClee5",Thu May 23 15:02:44 +0000 2024,12,3,82,0,7716,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1793658831635153025
1753990403811098643,"ITC Chairman Sanjiv Puri and Business Standard journalist Ishita Ayan Dutt had an in-depth conversation a day after ITC’s third-quarter results were declared. Over lunch at the iconic ITC Royal Bengal in Kolkata, Puri shared his take on the Company’s performance and plans for each of the conglomerate’s businesses – FMCG, Hotels, Agri, Paperboards and Information Technology.

The ‘ITC Next’ strategy and its core ideas of competitiveness, growth and profitability formed the fabric of the conversation, and ITC’s unique synergies that create value for all stakeholders. “That’s what we protect and nurture,” Puri said.

For details, read the full article here: https://t.co/tFR0mCQ2rP 
@bsindia
#BuildingBusinesses #TheITCWay #LeadershipSpeaks",Sun Feb 04 03:54:34 +0000 2024,9,12,79,0,9599,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1753990403811098643
1752007993917354127,Third quarter presentation: https://t.co/24NIYQ6r8W https://t.co/Bn06hqgHv4,Mon Jan 29 16:37:11 +0000 2024,1,2,11,0,1943,en,ITCCorpCom,ITC Limited,https://x.com/ITCCorpCom/status/1752007993917354127
