id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1947989591107269016,"L&amp;T continues to make bold strides in #sustainability, with tangible results. From setting ambitious targets for #CarebonNeutrality and #WaterNeutrality, to measuring impactful outcomes, we are driving change at scale. 
https://t.co/WcrhLkmbNf

#TechnologyForSustainableGrowth",Wed Jul 23 11:58:05 +0000 2025,9,0,59,2,1146,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1947989591107269016
1920465630509113571,"L&T Financial Results for the year ended March 31, 2025. Another year of strong all-round performance.

- Order Inflow exceeds ₹3.5 lakh crore for FY’25 ⬆ 18% y-o-y 
- Revenue crossed ₹2.5 lakh crore for FY’25 ⬆ 16% y-o-y 
- Consolidated PAT at ₹15,037 crore for FY’25 ⬆ 15% y-o-y
- Board recommends dividend of ₹34 per equity share
Read more > https://t.co/6g9VGMfEm7

#LarsenToubroNews #LarsenToubroResults #FY25",Thu May 08 13:07:41 +0000 2025,18,5,139,1,4976,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1920465630509113571
1884932566131589237,"Financial Results for the quarter ended December 31, 2024.
Record Quarterly Order Inflow; crosses Rs. 1 lakh crore for the first time ever.
A robust order book at Rs. 564,223 crore.
- Order Inflow ⬆️ 53%
- Revenue ⬆️ 17%
- PAT ⬆️ 14%
Read more: https://t.co/htWVf1EepB 
#LarsenToubroNews #LarsenToubroResults #QuarterlyResults",Thu Jan 30 11:51:58 +0000 2025,11,9,64,1,2639,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1884932566131589237
1876901558094303402,"The Heavy Engineering arm of L&amp;T  has won multiple orders in Q3 of FY25 in the overseas and domestic markets. https://t.co/qGkyYlJ3eP
#LarsenToubroNews https://t.co/M9CEWeNWag",Wed Jan 08 07:59:37 +0000 2025,6,50,37,2,23007,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1876901558094303402
1851615355359346965,"Financial Results for the quarter ended September 30, 2024
- Robust Order Inflow: ₹80,045 crore
- Strong Execution Momentum; Revenue at ₹61,555 crore 
- Order Book crosses ₹5 lakh crore
- Consolidated PAT: ₹3,395 crore
https://t.co/9kLGOjEKBX
(1/2) https://t.co/9jGLVK5vMn",Wed Oct 30 13:21:16 +0000 2024,10,3,70,0,3218,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1851615355359346965
1816098904275906766,"L&amp;T Financial Results for the quarter ended June 30, 2024. 
Growth Momentum Continues 
- Order Inflow ⬆ 8%
- Revenue ⬆15%
- PAT ⬆12% 
Read more &gt;&gt; https://t.co/sBouU1JFro

#LarsenToubroNews #LarsenToubroQR #LarsenToubroResults https://t.co/Ze93IXWxLp",Wed Jul 24 13:11:34 +0000 2024,10,3,71,1,3354,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1816098904275906766
1788884866722869751,"Mr. R Shankar Raman, President, Whole-time Director &amp; CFO of L&amp;T on the Company's #Q4 Results, margins and value creation, as well as the future outlook.",Fri May 10 10:52:42 +0000 2024,1,4,16,0,1998,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1788884866722869751
1788197156962131980,"L&T Financial Results for the year ended March 31, 2024. A well-rounded performance across all parameters.

- Order Inflow exceeds ₹3 lakh crore for FY’24 ⬆ 31% y-o-y
- Revenue at ₹2.21 lakh crore for FY’24 ⬆ 21% y-o-y
- Consolidated PAT at ₹13,059 crore for FY’24 ⬆ 25% y-o-y
- Board recommends a final dividend of ₹28 per share
Read more > https://t.co/yw7cTf9hEZ

#LarsenToubroNews #LarsenToubroResults #FY24",Wed May 08 13:19:59 +0000 2024,14,2,80,1,5262,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1788197156962131980
1752320109387923552,"L&amp;T Financial Results for the quarter ended December 31, 2023.
Another Quarter of Robust Performance.🚀
Order Inflow 25%⬆️
Revenue 19% ⬆️
Recurring PAT 20%⬆️
Read more: https://t.co/3EZBkxxFWU

#LarsenToubroNews #LarsenToubroQR #LarsenToubroResults #QR https://t.co/pCaMcFwhKt",Tue Jan 30 13:17:25 +0000 2024,15,3,88,2,3600,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1752320109387923552
1738149234053124514,"It’s always a thrill to see how effective #skillbuilding and training programmes can impact lives and livelihoods. 
Thank you for sharing this story, and highlighting how our commitment to building a diverse and empowered workforce yields long-term results.

#TechnologyForSustainableGrowth #SkillTraining",Fri Dec 22 10:47:25 +0000 2023,4,0,28,1,2252,en,larsentoubro,Larsen & Toubro,https://x.com/larsentoubro/status/1738149234053124514
