id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1850855258152685594,"Our Chairman and Managing Director, Dilip Shanghvi, provides an overview of our Q2 results for FY25.
Read more: https://t.co/RCXnnzyVjL

#Q2Results #FY25 #SunPharma https://t.co/U6NQVmeJby",Mon Oct 28 11:00:55 +0000 2024,1,4,15,0,1119,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1850855258152685594
1850840396357845394,"We have announced our Q2 results for FY25.

Read more: https://t.co/RCXnnzyVjL

#ReachingPeopleTouchingLives #Q2Results #FY25 #SunPharma https://t.co/cQokCuBpgo",Mon Oct 28 10:01:52 +0000 2024,0,1,5,0,943,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1850840396357845394
1818988157523685415,"Our Chairman and Managing Director, Dilip Shanghvi, provides an overview of our Q1 results for FY25.
 
Read more: https://t.co/Vl4MKSgyY1

#Q1Results #FY25 #SunPharma https://t.co/QC6KW5capU",Thu Aug 01 12:32:26 +0000 2024,6,2,32,0,2653,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1818988157523685415
1818970598531326044,"We have announced our Q1 results for FY25.

Read more: https://t.co/Vl4MKSgyY1

#ReachingPeopleTouchingLives #Q1Results #FY25 #SunPharma https://t.co/JNdBVXxBOK",Thu Aug 01 11:22:40 +0000 2024,4,0,21,0,2016,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1818970598531326044
1804466036235731138,"The results from a Phase I study evaluating the safety, tolerability, pharmacokinetics &amp; pharmacodynamics of our GL0034 (Utreglutide) in obese adults, were presented at the 84th Scientific Sessions of the American Diabetes Association (ADA).
https://t.co/MQXXbSHsXy https://t.co/MBQFlC8EIO",Sat Jun 22 10:46:43 +0000 2024,0,0,21,1,1450,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1804466036235731138
1796558666025603482,"Philogen &amp; Sun Pharma announced that the primary results of the Phase III PIVOTAL trial of a biopharmaceutical product, Nidlegy, for the treatment of skin cancers, will be presented at the American Society of Clinical Oncology (ASCO) 2024. Read more here: https://t.co/ZAZo7kO6Wy https://t.co/KutaZVVVHX",Fri May 31 15:05:39 +0000 2024,2,0,14,0,1138,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1796558666025603482
1793258340337996258,"Our Chairman and Managing Director, Dilip Shanghvi, provides an overview of our Q4 and full year results for FY24.
Read more: https://t.co/z0iO7IVxZd
#Q4Results #FullYearResults #SunPharma https://t.co/BUovr2SUl0",Wed May 22 12:31:20 +0000 2024,2,4,43,0,3222,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1793258340337996258
1793235711044518139,"We have announced our Q4 and full year results for FY24.
Read more: https://t.co/z0iO7IVxZd

#ReachingPeopleTouchingLives #Q4Results #FullYearResults #SunPharma https://t.co/Q3wneb1SIE",Wed May 22 11:01:24 +0000 2024,2,1,20,0,1888,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1793235711044518139
1752655281253990514,"Our Managing Director, Dilip Shanghvi, provides an overview of our Q3 FY24 results. 
Read more: https://t.co/0lJiyMCq7N

#QuarterlyUpdate #Q3Results #SunPharma https://t.co/a8DmFx4ppd",Wed Jan 31 11:29:16 +0000 2024,0,1,22,0,1338,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1752655281253990514
1752637405621026951,"We have announced our Q3 FY24 results.
Read more: https://t.co/0lJiyMCq7N

#ReachingPeopleTouchingLives #Q3Results #SunPharma https://t.co/3iIevaHbht",Wed Jan 31 10:18:14 +0000 2024,7,1,29,0,2836,en,SunPharma_Live,Sun Pharma,https://x.com/SunPharma_Live/status/1752637405621026951
