id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1945484822488682633,"Here's what our CEO &amp; MD @mohitjoshi74 and CFO Rohit Anand have to say about @tech_mahindra's Q1 FY'26 Results.

Know More: https://t.co/NmVHtT8SyL

#TechMResults #ScaleAtSpeed https://t.co/Bb2TU6YSRG",Wed Jul 16 14:05:01 +0000 2025,3,1,5,1,1211,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1945484822488682633
1945477268190658562,"Tech Mahindra Q1 FY'26 Results Highlights

Know More: https://t.co/NmVHtT8SyL

#TechMResults #ScaleAtSpeed https://t.co/4TLBeawYsP",Wed Jul 16 13:35:00 +0000 2025,4,1,11,1,846,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1945477268190658562
1945467776627532030,"Tech Mahindra Q1 FY'26 Results are out!

Know More: https://t.co/NmVHtT8SyL

#TechMResults #ScaleAtSpeed https://t.co/eUxIIRAIQ9",Wed Jul 16 12:57:17 +0000 2025,0,0,1,0,390,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1945467776627532030
1942078622837133509,"What happens when deep tech meets deep industry? 🤔

You get real results, powered by people who’ve built #SmartFactories and scaled real-time #Data systems across the globe.

Meet the experts behind the transformation:
🔹 Steve van den Berg, CrateDB – Architect of global data platforms
🔹 Sivakumar Muthusamy, Tech Mahindra – Leader of Azure-powered Industry 4.0 solutions
🔹 Chandrasekar Velayudam, Tech Mahindra – Veteran of IIoT, AI, and industrial innovation

From predictive maintenance to scalable data intelligence, hear directly from the leaders shaping next-gen #manufacturing strategies.

📅 July 22 | 16:00 CEST

📌 Ask your questions LIVE. See the vision in action.

📲 Register Now: https://t.co/dkzvCrh7pu

#ScaleAtSpeed #DigitalManufacturing #IndustrialAI #SmartFactorySolutions #Webinar #IoT #AI",Mon Jul 07 04:30:00 +0000 2025,0,0,1,0,303,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1942078622837133509
1915417324749787189,"Here's what our CEO &amp; MD @mohitjoshi74, and CFO Rohit Anand, have to say about Tech Mahindra's Q4 FY'25 results.

Know More: https://t.co/XrGepUjnJI

#TechMResults #ScaleAtSpeed https://t.co/WVdJgmkEwN",Thu Apr 24 14:47:31 +0000 2025,1,0,5,0,496,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1915417324749787189
1915412838387982336,"Tech Mahindra Q4 FY'25 Results Highlights
 
Know More: https://t.co/XrGepUjnJI
 
#TechMResults #ScaleAtSpeed https://t.co/D8c2Hz1FVY",Thu Apr 24 14:29:41 +0000 2025,1,0,3,0,459,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1915412838387982336
1915395346861117760,"Tech Mahindra Q4 FY'25 Results are out!

Know More: https://t.co/XrGepUjnJI

#TechMResults #ScaleAtSpeed https://t.co/Uej6vl3cws",Thu Apr 24 13:20:11 +0000 2025,1,1,3,0,459,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1915395346861117760
1902556199750660138,"At #TechMConsulting, we are committed to being more than just consultants - we're your trusted partners. Whether it's simplifying complexity, driving innovation, or accelerating value creation, we are here to deliver results at speed.

Here's what @atulsoneja have to say about our #consulting practice: https://t.co/Gb3x7mP0vB

#ScaleAtSpeed #AI #Innovation #ValueVelocity",Thu Mar 20 03:02:00 +0000 2025,1,0,5,0,317,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1902556199750660138
1900155380396658695,"Read our latest success story on boosting efficiency through infrastructure optimization for a top #semiconductor company.

Curious about how we made it happen? Dive into our case study to uncover the innovative solutions and impressive results: https://t.co/Rmt3Edg7FF

#ScaleAtSpeed #TechMahindra #Innovation #Semicon #CaseStudy",Thu Mar 13 12:02:00 +0000 2025,0,0,1,0,265,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1900155380396658695
1880239989201727663,"Here's what our CEO &amp; MD - @mohitjoshi74, and CFO - Rohit Anand, have to say about Tech Mahindra's Q3 FY25 results. 

Know More: https://t.co/KbvGfCJOUg

#TechMResults #ScaleAtSpeed https://t.co/wKEYZMSV67",Fri Jan 17 13:05:21 +0000 2025,1,1,7,0,814,en,tech_mahindra,Tech Mahindra,https://x.com/tech_mahindra/status/1880239989201727663
