,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2025-01-13,1.1165790970209614e-06,1.1165977980833107e-06,1.1165695462594427e-06,1.1165587779622933e-06,1.1166081602101235e-06,1.1275453898555893e-06,1.1166159913840912e-06,1.1275453898555893e-06,0.02222252298760452,1.1166047998503495e-06,0.022222522972288623,0.02222252286773867,1.1165913165803983e-06,0.022222522979381536,1.1166869500555147e-06,0.20000125823288356,1.1165843744617944e-06,1.1165881649362544e-06,1.1166085540857849e-06,1.11660586001494e-06,0.20000125821747827,0.15551493068844535,1.1275453898555893e-06,1.1166054687633842e-06,1.1166032302710606e-06,1.1165942233583872e-06,0.02222252298074946,1.1166053046053389e-06,1.1165952462785203e-06,1.116573051365888e-06,1.1165853013295693e-06,1.1275453898555893e-06,0.02222252293336337,1.116583406437546e-06,0.2000012582916807,1.116616642522377e-06,0.02222252298726208,0.022222522984846033,0.022222522974930183,1.1166836434729655e-06,1.1167013544146233e-06,1.116623706616467e-06,0.02222252298328731,1.11657062122999e-06,0.02222252299490927
2025-01-14,1.1930022345781717e-06,1.1609496510842003e-06,1.160919485475451e-06,1.1609197032725271e-06,1.1609547902121702e-06,1.1690326198044056e-06,1.1609731578278245e-06,1.1690326198044056e-06,0.022222898763870645,1.1609437397112103e-06,0.022222898741297924,0.022222898463046308,1.1609466139036696e-06,1.6550510344721189e-06,1.1610114811738567e-06,0.2000013066605199,1.1609482536758239e-06,1.1609482333221064e-06,1.1609550275198034e-06,1.1609582587648654e-06,0.20000130664584487,0.1555153066701903,1.1690326198044056e-06,1.1609612319074326e-06,1.160951376409078e-06,1.1609481264504526e-06,1.287191359481786e-06,1.1609520424702887e-06,1.1609435707698221e-06,1.160916647635934e-06,1.1609285000368447e-06,1.1690326198044056e-06,0.02222289862077328,1.1609290591692673e-06,0.2000013067058102,1.1609697532907774e-06,0.02222289876584729,0.022222898750942015,0.0222228987550561,1.1610129771810539e-06,1.161028061213616e-06,1.1609652018457296e-06,0.022222898742430545,1.1609219224424242e-06,0.06665974848139608
2025-01-15,1.0452128226704087e-06,1.0238515244047502e-06,1.023853395809035e-06,1.023852396938673e-06,1.0238552036081712e-06,1.0304127115226943e-06,1.0238789968973053e-06,1.0304127115226943e-06,0.02222302350713409,1.0238499378751926e-06,0.02222302354182726,0.02222302484602681,1.023843353185286e-06,1.3532543106654942e-06,1.0238969869327276e-06,0.20000114507180544,1.0238525500829178e-06,1.0238644332301747e-06,1.023851495333543e-06,1.023847875143656e-06,0.20000114504163152,0.15551543149235855,1.0304127115226943e-06,1.0284042107928868e-06,1.0283761812264672e-06,1.0238677351161424e-06,1.1080217630903611e-06,1.0238648339345313e-06,1.023853913918915e-06,1.023829502656003e-06,1.0283848522082876e-06,1.0304127115226943e-06,0.04444911385542166,1.023839069099487e-06,0.2000011450994114,1.0238589232768712e-06,0.022223023517027762,0.02222302348745813,0.022223023483545837,1.023899175133346e-06,1.0239190901870595e-06,1.0238677745796679e-06,7.65624851569893e-07,1.0238303181924748e-06,0.06665987319702796
2025-01-16,1.0319174679875351e-06,1.0121364026208243e-06,1.012147354266348e-06,1.0121413523313952e-06,1.012140165301569e-06,1.0158036550013545e-06,1.0121476350896202e-06,1.0158036550013545e-06,0.02222326909532709,1.0121430331366605e-06,0.022223269138871928,0.022223270658524853,1.0121298038242844e-06,1.278324599212954e-06,1.0121660906484684e-06,0.20000111197541307,1.0121320527877902e-06,1.012142553964671e-06,1.0121377487245856e-06,1.0121315752933191e-06,0.2000011119514749,0.1555156772074096,1.0158036550013545e-06,1.015168120250613e-06,1.0151537046918387e-06,1.012147891415158e-06,1.082145728931888e-06,1.0121482118418888e-06,1.0121417641659135e-06,1.0121334236018394e-06,1.015168985290347e-06,1.0158036550013545e-06,0.20000107739654724,1.0121363060843704e-06,1.01073757247745e-06,1.0121357376167187e-06,0.02222326910400415,0.022223269082146148,0.0222232690679998,1.014833416620102e-06,1.0121763383868524e-06,1.0121495608886407e-06,8.399935788549293e-07,1.0121291191250933e-06,0.11110678366936566
2025-01-17,6.147658520159841e-07,6.65945070631789e-07,6.659521558530859e-07,6.659481543011142e-07,6.659482940926545e-07,6.688635580329031e-07,6.659515463275074e-07,6.688635580329031e-07,0.022223003386463304,6.659491108562256e-07,0.022223003431437214,0.022223004869112686,6.659417085107407e-07,8.43405450076165e-07,6.659627841806309e-07,0.20000066783457382,6.65943297141273e-07,6.659484661651715e-07,6.659445158840745e-07,6.659424936666368e-07,0.20000066781713663,0.0,6.688635580329031e-07,6.679658951210471e-07,6.679605398803769e-07,6.659520359781852e-07,6.549471347660071e-07,6.659531109142295e-07,6.659479956023567e-07,6.659449372845869e-07,6.679688531294014e-07,6.688635580329031e-07,0.2000006401432051,6.659468502228535e-07,5.97820558512338e-07,6.659452213572066e-07,0.022223003395535828,0.022223003378094734,0.1777540321663479,6.010957980248882e-07,6.659698478121188e-07,5.989495867082669e-07,5.511836205172082e-07,6.659427314910985e-07,0.11110651307924359
2025-01-20,3.1868667744873076e-07,3.5279331613254645e-07,3.527174516518138e-07,3.5271427128747665e-07,3.527980842017797e-07,3.5075068725892457e-07,3.5275757377568697e-07,3.5075068725892457e-07,0.0,3.527859119800803e-07,0.0,0.022222591193997464,3.528191041629048e-07,4.7109028257705293e-07,3.5279251281548047e-07,0.20000003594706514,3.527850618431734e-07,3.5274450217467264e-07,3.528093012929406e-07,2.2423040527238513e-07,0.20000003600162486,0.0,3.5075068725892457e-07,3.5411207990168283e-07,3.541720332362708e-07,3.5273556785669657e-07,2.1533461498053555e-07,3.5275161993929143e-07,3.527691513825918e-07,2.241716904509427e-07,3.5408248938940104e-07,3.5075068725892457e-07,0.15556950241334283,2.2417336592157738e-07,1.6964789024833683e-07,3.5282026669693375e-07,0.02222259616670784,0.022222596198714008,0.1777534775143592,1.7228550311746204e-07,3.5275643466934404e-07,3.0810483731046625e-07,2.762681849829293e-07,3.52798421883207e-07,0.19999809805183102
2025-01-21,1.9492665660877074e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1371799516138667e-08,0.0,0.022222226418738344,0.0,0.0,0.0,0.1999974539001105,0.0,0.0,0.0,0.0,0.19999746618820402,0.0,0.0,0.0,0.0,0.0,1.0163022368749005e-07,0.0,2.1157647758331834e-07,8.003861750951498e-08,0.0,0.0,0.15556728554205335,5.642309110304098e-08,6.223453389198288e-08,0.0,0.0,0.022222231423381793,0.19999664753043267,6.719136483676308e-08,0.0,0.0,0.0,0.0,0.19999590360331468
2025-01-22,4.793109362385879e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222100564498328,0.0,0.0,0.0,0.19999651078050248,0.0,0.0,0.0,0.0,0.19999734464038046,0.0,0.0,0.0,0.0,0.0,1.834955600431798e-09,0.0,0.0,3.80310659106433e-08,0.0,0.0,0.15556660035913972,1.9138724425959685e-08,0.0,0.0,0.0,0.02222210556912583,0.1999957759842898,0.0,0.0,0.0,0.0,0.0,0.19999945516522374
2025-01-23,2.908186683283716e-07,2.529313305706739e-07,2.5293132968264755e-07,2.52931330436706e-07,2.529313297382287e-07,2.5293044681341416e-07,2.5293133195038546e-07,2.5293044681341416e-07,2.524737959647327e-07,2.5293133137110693e-07,2.524737984932319e-07,0.02222241698784763,2.5293132930461637e-07,2.52473795068814e-07,2.529313335403381e-07,1.1113715291720987e-06,2.5247379523380734e-07,2.529313319127144e-07,2.529313304263806e-07,2.5293133016436445e-07,0.1999976612872633,2.5293133326933916e-07,2.5293044681341416e-07,2.5293133242343123e-07,2.524737928268161e-07,2.5293133413936063e-07,2.543992959255582e-07,2.5293132742218936e-07,2.529313312920782e-07,0.20000146581751893,2.5247379415566696e-07,2.5293044681341416e-07,1.1932879950357717e-06,2.682423104387638e-07,2.529313318281381e-07,2.529313296884236e-07,2.5247379507290697e-07,0.17776552366471632,0.20000140126278879,2.524737965995787e-07,2.529313327362032e-07,2.529313303191213e-07,2.5293133044206383e-07,2.52931328370351e-07,0.19999981685763446
2025-01-24,1.9677580859062157e-07,3.053735565190894e-07,3.05372078068071e-07,3.053726231697143e-07,3.053726416894738e-07,3.053706932211303e-07,3.0537325716287967e-07,3.053706932211303e-07,1.6609957910169726e-07,3.053727259277805e-07,1.6609956473855618e-07,0.022222363271820575,3.053723509476307e-07,3.050672499282984e-07,3.05373137130356e-07,8.77666094366212e-07,1.6609990415947087e-07,3.053731892157765e-07,3.0537360785290336e-07,3.053723327968594e-07,0.19999809311422215,3.053724947844075e-07,3.053706932211303e-07,1.664659292512894e-07,3.0506743914640286e-07,3.0537223188065707e-07,3.063512275449245e-07,3.0537221145482595e-07,3.053720463602523e-07,0.2000011367362057,1.6609957855616492e-07,3.053706932211303e-07,9.187508553287505e-07,3.155795103548288e-07,3.053717197209828e-07,3.053701218397943e-07,1.660998975965431e-07,0.17776548152398455,0.2000010850946495,3.0506712383966615e-07,3.053728529631121e-07,3.0537383293890825e-07,3.053700851159447e-07,1.6646593370045088e-07,0.19999981757055088
